director_din,director_name,din_status,total_directorships,risky_directorships,director_stress_score,director_stress_pct,risk_flag_details,computed_timestamp
72,Neha Patel,active,1,1,10.0,100.0,"[{""L32483NL2010PLC000007"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.326318
73,Rahul Iyer,active,1,1,10.0,100.0,"[{""L32483NL2010PLC000007"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.326348
81,Neha Patel,active,1,1,10.0,100.0,"[{""L33540MZ2010PLC000008"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.326378
82,Rahul Iyer,active,1,1,10.0,100.0,"[{""L33540MZ2010PLC000008"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.326407
83,Kavita Gupta,active,1,1,10.0,100.0,"[{""L33540MZ2010PLC000008"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.326436
91,Rahul Iyer,active,1,1,10.0,100.0,"[{""L44979AN2010PLC000009"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.326468
92,Kavita Gupta,active,1,1,10.0,100.0,"[{""L44979AN2010PLC000009"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.326498
93,Amit Nair,active,1,1,10.0,100.0,"[{""L44979AN2010PLC000009"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.326529
101,Amit Nair,active,1,1,10.0,100.0,"[{""L35060TR2010PLC000010"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.326878
102,Sunita Rao,active,1,1,10.0,100.0,"[{""L35060TR2010PLC000010"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.326970
103,Ramesh Kapoor,active,1,1,10.0,100.0,"[{""L35060TR2010PLC000010"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327005
111,Sunita Rao,active,1,1,10.0,100.0,"[{""L32392GJ2010PLC000011"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327039
112,Ramesh Kapoor,active,1,1,10.0,100.0,"[{""L32392GJ2010PLC000011"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327069
113,Anita Desai,active,1,1,10.0,100.0,"[{""L32392GJ2010PLC000011"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327099
121,Ramesh Kapoor,active,1,1,10.0,100.0,"[{""L43615MP2010PLC000012"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327130
122,Anita Desai,active,1,1,10.0,100.0,"[{""L43615MP2010PLC000012"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327167
123,Vivek Mehta,active,1,1,10.0,100.0,"[{""L43615MP2010PLC000012"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327197
131,Anita Desai,active,1,1,10.0,100.0,"[{""L90086WB2010PLC000013"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327228
132,Vivek Mehta,active,1,1,10.0,100.0,"[{""L90086WB2010PLC000013"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327257
133,Priya Menon,active,1,1,10.0,100.0,"[{""L90086WB2010PLC000013"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327286
141,Vivek Mehta,active,1,1,10.0,100.0,"[{""L88831WB2010PLC000014"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327317
142,Priya Menon,active,1,1,10.0,100.0,"[{""L88831WB2010PLC000014"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327346
143,Sanjay Sharma,active,1,1,10.0,100.0,"[{""L88831WB2010PLC000014"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327376
151,Priya Menon,active,1,1,10.0,100.0,"[{""L89692WB2010PLC000015"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327407
152,Sanjay Sharma,active,1,1,10.0,100.0,"[{""L89692WB2010PLC000015"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327436
153,Neha Patel,active,1,1,10.0,100.0,"[{""L89692WB2010PLC000015"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327475
161,Sanjay Sharma,active,1,1,10.0,100.0,"[{""L18692GA2010PLC000016"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327506
162,Neha Patel,active,1,1,10.0,100.0,"[{""L18692GA2010PLC000016"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327535
163,Rahul Iyer,active,1,1,10.0,100.0,"[{""L18692GA2010PLC000016"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327575
171,Neha Patel,active,1,1,10.0,100.0,"[{""L20702AP2010PLC000017"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327603
172,Rahul Iyer,active,1,1,10.0,100.0,"[{""L20702AP2010PLC000017"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327628
173,Kavita Gupta,active,1,1,10.0,100.0,"[{""L20702AP2010PLC000017"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327654
181,Rahul Iyer,active,1,1,10.0,100.0,"[{""L13555TS2010PLC000018"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327681
182,Kavita Gupta,active,1,1,10.0,100.0,"[{""L13555TS2010PLC000018"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327719
183,Amit Nair,active,1,1,10.0,100.0,"[{""L13555TS2010PLC000018"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327753
191,Kavita Gupta,active,1,1,10.0,100.0,"[{""L59839NL2010PLC000019"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327786
192,Amit Nair,active,1,1,10.0,100.0,"[{""L59839NL2010PLC000019"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327816
193,Sunita Rao,active,1,1,10.0,100.0,"[{""L59839NL2010PLC000019"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327845
201,Sunita Rao,active,1,1,10.0,100.0,"[{""L90990AS2010PLC000020"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327879
202,Ramesh Kapoor,active,1,1,10.0,100.0,"[{""L90990AS2010PLC000020"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327909
203,Anita Desai,active,1,1,10.0,100.0,"[{""L90990AS2010PLC000020"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327938
211,Ramesh Kapoor,active,1,1,10.0,100.0,"[{""L13871AS2010PLC000021"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.327973
212,Anita Desai,active,1,1,10.0,100.0,"[{""L13871AS2010PLC000021"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328002
213,Vivek Mehta,active,1,1,10.0,100.0,"[{""L13871AS2010PLC000021"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328032
221,Anita Desai,active,1,1,10.0,100.0,"[{""L81705OR2010PLC000022"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328062
222,Vivek Mehta,active,1,1,10.0,100.0,"[{""L81705OR2010PLC000022"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328091
223,Priya Menon,active,1,1,10.0,100.0,"[{""L81705OR2010PLC000022"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328121
231,Vivek Mehta,active,1,1,10.0,100.0,"[{""L60989AR2010PLC000023"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328152
232,Priya Menon,active,1,1,10.0,100.0,"[{""L60989AR2010PLC000023"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328180
233,Sanjay Sharma,active,1,1,10.0,100.0,"[{""L60989AR2010PLC000023"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328210
241,Priya Menon,active,1,1,10.0,100.0,"[{""L13834KL2010PLC000024"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328240
242,Sanjay Sharma,active,1,1,10.0,100.0,"[{""L13834KL2010PLC000024"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328270
243,Neha Patel,active,1,1,10.0,100.0,"[{""L13834KL2010PLC000024"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328299
251,Sanjay Sharma,active,1,1,10.0,100.0,"[{""L22958DN2010PLC000025"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328329
252,Neha Patel,active,1,1,10.0,100.0,"[{""L22958DN2010PLC000025"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328362
253,Rahul Iyer,active,1,1,10.0,100.0,"[{""L22958DN2010PLC000025"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328391
261,Neha Patel,active,1,1,10.0,100.0,"[{""L99803NL2010PLC000026"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328422
262,Rahul Iyer,active,1,1,10.0,100.0,"[{""L99803NL2010PLC000026"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328455
263,Kavita Gupta,active,1,1,10.0,100.0,"[{""L99803NL2010PLC000026"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328491
271,Rahul Iyer,active,1,1,10.0,100.0,"[{""L16852LD2010PLC000027"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328522
272,Kavita Gupta,active,1,1,10.0,100.0,"[{""L16852LD2010PLC000027"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328555
273,Amit Nair,active,1,1,10.0,100.0,"[{""L16852LD2010PLC000027"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328613
281,Kavita Gupta,active,1,1,10.0,100.0,"[{""L83280ML2010PLC000028"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328647
282,Amit Nair,active,1,1,10.0,100.0,"[{""L83280ML2010PLC000028"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328676
283,Sunita Rao,active,1,1,10.0,100.0,"[{""L83280ML2010PLC000028"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328718
291,Amit Nair,active,1,1,10.0,100.0,"[{""L92766KL2010PLC000029"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328749
292,Sunita Rao,active,1,1,10.0,100.0,"[{""L92766KL2010PLC000029"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328778
293,Ramesh Kapoor,active,1,1,10.0,100.0,"[{""L92766KL2010PLC000029"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328809
301,Ramesh Kapoor,active,1,1,10.0,100.0,"[{""L39972PY2010PLC000030"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328840
302,Anita Desai,active,1,1,10.0,100.0,"[{""L39972PY2010PLC000030"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328871
303,Vivek Mehta,active,1,1,10.0,100.0,"[{""L39972PY2010PLC000030"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328900
311,Anita Desai,active,1,1,10.0,100.0,"[{""L57630DD2010PLC000031"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328930
312,Vivek Mehta,active,1,1,10.0,100.0,"[{""L57630DD2010PLC000031"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328959
313,Priya Menon,active,1,1,10.0,100.0,"[{""L57630DD2010PLC000031"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.328993
321,Vivek Mehta,active,1,1,10.0,100.0,"[{""L17870ML2010PLC000032"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329024
322,Priya Menon,active,1,1,10.0,100.0,"[{""L17870ML2010PLC000032"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329052
323,Sanjay Sharma,active,1,1,10.0,100.0,"[{""L17870ML2010PLC000032"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329081
331,Priya Menon,active,1,1,10.0,100.0,"[{""L70977MZ2010PLC000033"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329112
332,Sanjay Sharma,active,1,1,10.0,100.0,"[{""L70977MZ2010PLC000033"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329141
333,Neha Patel,active,1,1,10.0,100.0,"[{""L70977MZ2010PLC000033"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329170
341,Sanjay Sharma,active,1,1,10.0,100.0,"[{""L78430ML2010PLC000034"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329201
342,Neha Patel,active,1,1,10.0,100.0,"[{""L78430ML2010PLC000034"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329231
343,Rahul Iyer,active,1,1,10.0,100.0,"[{""L78430ML2010PLC000034"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329261
351,Neha Patel,active,1,1,10.0,100.0,"[{""L54657DD2010PLC000035"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329293
352,Rahul Iyer,active,1,1,10.0,100.0,"[{""L54657DD2010PLC000035"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329326
353,Kavita Gupta,active,1,1,10.0,100.0,"[{""L54657DD2010PLC000035"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329356
361,Rahul Iyer,active,1,1,10.0,100.0,"[{""L63429MP2010PLC000036"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329388
362,Kavita Gupta,active,1,1,10.0,100.0,"[{""L63429MP2010PLC000036"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329443
363,Amit Nair,active,1,1,10.0,100.0,"[{""L63429MP2010PLC000036"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329478
371,Kavita Gupta,active,1,1,10.0,100.0,"[{""L99271AR2010PLC000037"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329510
372,Amit Nair,active,1,1,10.0,100.0,"[{""L99271AR2010PLC000037"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329540
373,Sunita Rao,active,1,1,10.0,100.0,"[{""L99271AR2010PLC000037"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329585
381,Amit Nair,active,1,1,10.0,100.0,"[{""L45563GJ2010PLC000038"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329617
382,Sunita Rao,active,1,1,10.0,100.0,"[{""L45563GJ2010PLC000038"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329651
383,Ramesh Kapoor,active,1,1,10.0,100.0,"[{""L45563GJ2010PLC000038"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329681
391,Sunita Rao,active,1,1,10.0,100.0,"[{""L77856CG2010PLC000039"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329719
392,Ramesh Kapoor,active,1,1,10.0,100.0,"[{""L77856CG2010PLC000039"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329748
393,Anita Desai,active,1,1,10.0,100.0,"[{""L77856CG2010PLC000039"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329777
401,Anita Desai,active,1,1,10.0,100.0,"[{""L20826MP2010PLC000040"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329807
402,Vivek Mehta,active,1,1,10.0,100.0,"[{""L20826MP2010PLC000040"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329835
403,Priya Menon,active,1,1,10.0,100.0,"[{""L20826MP2010PLC000040"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329865
411,Vivek Mehta,active,1,1,10.0,100.0,"[{""L69620DN2010PLC000041"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329896
412,Priya Menon,active,1,1,10.0,100.0,"[{""L69620DN2010PLC000041"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329925
413,Sanjay Sharma,active,1,1,10.0,100.0,"[{""L69620DN2010PLC000041"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329954
421,Priya Menon,active,1,1,10.0,100.0,"[{""L86899TR2010PLC000042"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.329985
422,Sanjay Sharma,active,1,1,10.0,100.0,"[{""L86899TR2010PLC000042"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.330017
423,Neha Patel,active,1,1,10.0,100.0,"[{""L86899TR2010PLC000042"": {""is_inactive"": false, ""has_drt_case"": false, ""has_nclt_case"": false, ""has_live_charge"": true}}]",2026-03-12T13:38:26.330046
